"county","black_velvet_sales"
"Polk","3054401.34"
"Linn","1884921.86"
"Black Hawk","1387842.85"
"Woodbury","716355.64"
"Story","689499.91"
"Johnson","675916.20"
"Cerro Gordo","674319.76"
"Scott","544144.63"
"Dubuque","530307.57"
"Carroll","387111.01"
"Dallas","384008.03"
"Webster","375247.09"
"Dickinson","330192.53"
"Boone","324627.09"
"Crawford","305220.88"
"Marshall","300144.25"
"Plymouth","296102.47"
"Clay","283539.70"
"Hardin","282338.57"
"Warren","280030.83"
"O'Brien","274716.97"
"Buena Vista","267781.09"
"Bremer","265273.01"
"Wapello","255867.35"
"Pottawattamie","254125.21"
"Jasper","244433.67"
"Kossuth","244363.65"
"Sioux","237484.45"
"Jones","211716.35"
"Buchanan","210882.57"
"Hamilton","195804.94"
"Marion","195552.38"
"Fayette","191904.55"
"Des Moines","177399.46"
"Floyd","177354.76"
"Muscatine","176363.36"
"Iowa","164462.05"
"Poweshiek","162105.98"
"Wright","159420.11"
"Clinton","153443.89"
"Washington","141444.51"
"Cedar","139189.19"
"Lee","136664.02"
"Humboldt","135042.54"
"Benton","134008.71"
"Winneshiek","133517.11"
"Henry","133345.28"
"Jackson","132435.08"
"Sac","131334.93"
"Cass","131003.35"
"Shelby","127220.70"
"Union","125303.54"
"Delaware","121090.90"
"Madison","116082.78"
"Cherokee","115493.16"
"Palo Alto","113183.22"
"Allamakee","109121.80"
"Tama","103093.71"
"Chickasaw","102927.69"
"Clayton","102652.67"
"Howard","97135.54"
"Appanoose","91836.92"
"Mahaska","90903.46"
"Greene","87743.42"
"Winnebago","86019.18"
"Emmet","83481.62"
"Franklin","83344.17"
"Lyon","83087.49"
"Jefferson","81598.33"
"Pocahontas","81248.62"
"Clarke","80317.96"
"Calhoun","80041.14"
"Page","79471.82"
"Ida","75627.15"
"Osceola","67425.18"
"Adair","67250.21"
"Mitchell","62040.89"
"Butler","60069.79"
"Grundy","57957.30"
"Lucas","57758.12"
"Monroe","55523.41"
"Monona","55342.55"
"Harrison","49431.23"
"Guthrie","46973.73"
"Montgomery","45521.37"
"Louisa","44047.88"
"Audubon","41914.34"
"Hancock","34723.94"
"Mills","33734.52"
"Keokuk","24603.18"
"Worth","22562.91"
"Decatur","21113.64"
"Van Buren","18645.95"
"Adams","12886.19"
"Ringgold","12703.33"
"Taylor","12080.12"
"Davis","11866.71"
"Wayne","8877.30"
"Fremont","3081.90"
